alpha,target_ret,port_ret_ann,cvar_ann,sharpe_est,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,CPSEETF.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GOLDBEES.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LIQUIDBEES.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
0.01,0.011141311306852033,2.8076104494043883,0.3331286621307959,3.0003184796241382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237221,0.0,0.000238,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.711025,0.0,0.0,0.0,0.0,0.0,0.0,0.044867,0.0,0.0,0.006649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.012151673848594193,3.0622218098688925,0.36381401347593617,3.272405787920755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258978,0.0,0.003901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683048,0.0,0.0,0.0,0.0,0.0,0.0,0.042446,0.0,0.0,0.011628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.013162036390336354,3.3168331704789096,0.39450242861251783,3.5444930963728725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280752,0.0,0.004212,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.656413,0.0,0.0,0.0,0.0,0.0,0.0,0.04602,0.0,0.0,0.012604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.014172398932078516,3.571444530889398,0.42519090959504147,3.816580404611766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302527,0.0,0.004523,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.629778,0.0,0.0,0.0,0.0,0.0,0.0,0.049593,0.0,0.0,0.01358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.015182761473820677,3.8260558914202107,0.45587935105972327,4.088667712979243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324301,0.0,0.004834,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.603144,0.0,0.0,0.0,0.0,0.0,0.0,0.053166,0.0,0.0,0.014556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.016193124015562835,4.080667251923355,0.4865678015207385,4.360755021317152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346076,0.0,0.005145,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.576509,0.0,0.0,0.0,0.0,0.0,0.0,0.056739,0.0,0.0,0.015532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.017203486557304998,4.335278612443415,0.5172562464746148,4.632842329673137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36785,0.0,0.005456,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.549874,0.0,0.0,0.0,0.0,0.0,0.0,0.060312,0.0,0.0,0.016508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.018213849099047157,4.589889972965893,0.5479446906705437,4.904929638031708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389625,0.0,0.005767,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.523239,0.0,0.0,0.0,0.0,0.0,0.0,0.063885,0.0,0.0,0.017484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01922421164078932,4.844501333598589,0.5786331001549545,5.17701694650806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411399,0.0,0.006077,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.496605,0.0,0.0,0.0,0.0,0.0,0.0,0.06746,0.0,0.0,0.018459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.020234574182531478,5.099112694000867,0.6093215823002104,5.44910425473818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433174,0.0,0.006389,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.46997,0.0,0.0,0.0,0.0,0.0,0.0,0.071032,0.0,0.0,0.019436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
